p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.75,0.5,110,-9.171788489111037E-19,0,-1.872282379461627E-17
0.75,0.5,111,-8.506981490727052E-19,0,-1.736995204856351E-17
0.75,0.5,112,-7.842174492343069E-19,0,-1.6017080302510736E-17
0.75,0.5,113,-7.17736749395909E-19,0,-1.466420855645795E-17
0.75,0.5,114,-6.512560495575113E-19,0,-1.3311336810405175E-17
0.75,0.5,115,-5.847753497191132E-19,0,-1.1958465064352418E-17
0.75,0.5,116,-5.182946498807142E-19,0,-1.0605593318299638E-17
0.75,0.5,117,-4.518139500423167E-19,0,-9.252721572246864E-18
0.75,0.5,118,-3.8533325020391855E-19,0,-7.89984982619409E-18
0.75,0.5,119,-3.1885255036552045E-19,0,-6.54697808014132E-18
0.75,0.5,120,-2.523718505271217E-19,0,-5.194106334088558E-18
0.75,0.5,121,-1.8589115068872407E-19,0,-3.841234588035772E-18
0.75,0.5,122,-1.1941045085032595E-19,0,-2.488362841983E-18
0.75,0.5,123,-9.131664741471565E-20,0,-1.914367136843086E-18
0.75,0.5,124,-8.908331393291945E-20,0,-1.8650843504665113E-18
0.75,0.5,125,-8.684998045112324E-20,0,-1.815801564089939E-18
0.75,0.5,126,-8.461664696932708E-20,0,-1.7665187777133653E-18
0.75,0.5,127,-8.238331348753086E-20,0,-1.7172359913367898E-18
0.75,0.5,128,-8.014998000573461E-20,0,-1.667953204960217E-18
0.75,0.5,129,-7.791664652393852E-20,0,-1.6186704185836422E-18
0.75,0.5,130,-7.568331304214224E-20,0,-1.5693876322070694E-18
0.75,0.5,131,-7.34499795603461E-20,0,-1.5201048458304926E-18
0.75,0.5,132,-7.121664607854988E-20,0,-1.4708220594539207E-18
0.75,0.5,133,-6.898331259675369E-20,0,-1.4215392730773456E-18
0.75,0.5,134,-6.674997911495747E-20,0,-1.3722564867007716E-18
0.75,0.5,135,-6.451664563316131E-20,0,-1.3229737003241994E-18
0.75,0.5,136,-6.228331215136512E-20,0,-1.2736909139476249E-18
0.75,0.5,137,-6.004997866956893E-20,0,-1.2244081275710519E-18
