% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
51.456857454897424,4.466731948031614E-15,0,5.246236377217148E-14
51.65052967707025,3.737420944750066E-15,0,4.420356788856643E-14
51.84420189924308,3.1280750964929735E-15,0,3.724862309653335E-14
52.06059206806108,2.5628250160559727E-15,0,3.076710419772053E-14
52.27698223687907,2.0990435089509476E-15,0,2.541666065955561E-14
52.493372405697066,1.7202493653884852E-15,0,2.0999842289240826E-14
52.70976257451506,1.4110854733848361E-15,0,1.7353179906223587E-14
52.926152743333056,1.157656141036672E-15,0,1.4341706615358454E-14
53.14254291215105,9.493255496788821E-16,0,1.1854355059327475E-14
53.358933080969045,7.785392196018671E-16,0,9.80002712485837E-15
53.57532324978704,6.390815450208111E-16,0,8.103190321677754E-15
53.791713418605035,5.249211373671597E-16,0,6.701175354866111E-15
54.00810358742303,4.3085905792674386E-16,0,5.542341800020839E-15
54.224493756241024,3.535009778327441E-16,0,4.584222446064698E-15
54.44088392505902,2.902724996248024E-16,0,3.792038435606942E-15
54.657274093877014,2.3859497314850336E-16,0,3.1370837633915964E-15
54.87366426269501,1.9610308600402857E-16,0,2.5955637042040765E-15
55.090054431513,1.6107611374983748E-16,0,2.147781014867377E-15
55.306444600331,1.323211854424179E-16,0,1.7774586957718465E-15
55.52283476914899,1.0879466384425728E-16,0,1.4711501225823845E-15
55.73922493796699,8.950933447056937E-17,0,1.2180347099297314E-15
55.95561510678498,7.365079530676174E-17,0,1.0087561313512635E-15
56.17200527560298,6.059559747906524E-17,0,8.355027255212633E-16
56.38839544442097,4.986042232986141E-17,0,6.920120894064162E-16
56.60478561323897,4.103762777217579E-17,0,5.731897157591618E-16
56.82117578205696,3.377946416193149E-17,0,4.747604356414467E-16
57.037565950874956,2.780466079618907E-17,0,3.932285381220749E-16
57.25395611969295,2.2888444049906224E-17,0,3.2571553278862943E-16
57.470346288510946,1.88458559034481E-17,0,2.698222295036602E-16
57.68673645732894,1.5521213933696518E-17,0,2.2354549686507576E-16
57.903126626146936,1.2785155772549466E-17,0,1.8522290246297112E-16
58.11951679496493,1.0532622154506287E-17,0,1.5348191849196792E-16
58.55229713260093,7.151536290080658E-18,0,1.0542377416583203E-16
58.91760279580835,5.164124935399068E-18,0,7.682163834368871E-17
59.28290845901577,3.733622945598023E-18,0,5.601345443404643E-17
