% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration","timeint(0,t,sourceFlux-sinkFlux)"
139.20537708987172,1.4902519692822753E-5,0,2.787958602943175E-4,-0.0043914300013271025
140.20537708987172,1.4131338862426172E-5,0,2.6436848184628267E-4,-0.004405943518484968
141.20537708987172,1.3400039389310304E-5,0,2.506877143849232E-4,-0.004419705970103517
142.20537708987172,1.270659662268873E-5,0,2.3771491570243907E-4,-0.004432756213106316
143.20537708987172,1.2049076193396764E-5,0,2.254134439891061E-4,-0.004445131138995774
144.20537708987172,1.1425544773341165E-5,0,2.1374854144275084E-4,-0.004456865695562996
145.20537708987172,1.0834259680547048E-5,0,2.0268727054333145E-4,-0.004467992973769176
146.20537708987172,1.0273604606736333E-5,0,1.9219840692531338E-4,-0.004478544422455734
147.20537708987172,9.741971928295394E-6,0,1.8225232853561382E-4,-0.004488549860224479
148.20537708987172,9.237826040844384E-6,0,1.7282094702771448E-4,-0.004498037527100064
149.20537708987172,8.759766863772006E-6,0,1.6387763336324145E-4,-0.004507034204178607
150.20537708987172,8.306467784513043E-6,0,1.553971402073117E-4,-0.004515565315129911
151.20537708987172,7.876620181346122E-6,0,1.47355505492775E-4,-0.0045236549580184755
152.20537708987172,7.4690054187433035E-6,0,1.3973001060288193E-4,-0.004531325964827238
153.20537708987172,7.08249163076568E-6,0,1.3249912348373447E-4,-0.004538600001266314
154.20537708987172,6.715986025379111E-6,0,1.256424248394757E-4,-0.004545497618206596
155.20537708987172,6.368439698032285E-6,0,1.1914055181886727E-4,-0.004552038292651429
156.20537708987172,6.038874520329372E-6,0,1.1297514521006624E-4,-0.004558240489736343
157.20537708987172,5.726371218629498E-6,0,1.071288009165154E-4,-0.004564121728507443
158.20537708987172,5.43004237937069E-6,0,1.0158500494322154E-4,-0.004569698624202912
159.20537708987172,5.149038159914775E-6,0,9.63280978270465E-5,-0.004574986920901126
160.20537708987172,4.882576615040741E-6,0,9.13432304470524E-5,-0.004580001546634783
161.20537708987172,4.629919867106131E-6,0,8.661632428487505E-5,-0.004584756675896352
162.20537708987172,4.39032625689656E-6,0,8.213402359982482E-5,-0.004589265741030069
163.20537708987172,4.163122720153572E-6,0,7.78836712807622E-5,-0.004593541457141016
164.20537708987172,3.947687361654836E-6,0,7.385326918725093E-5,-0.004597595907735719
165.20537708987172,3.7434044039827687E-6,0,7.003143537874913E-5,-0.004601440550375747
166.20537708987172,3.5496841474731224E-6,0,6.640737674089402E-5,-0.004605086237012657
167.20537708987172,3.3659876150976766E-6,0,6.297086058585825E-5,-0.004608543258560017
168.20537708987172,3.1918047301351713E-6,0,5.971218552327934E-5,-0.004611821383729221
169.20537708987172,3.0266332877940977E-6,0,5.6622144292397496E-5,-0.004614929872221941
170.20537708987172,2.8700053651464235E-6,0,5.3692007088710546E-5,-0.004617877497545431
171.20537708987172,2.7214856413802844E-6,0,5.0913499908026126E-5,-0.004620672585188879
172.20537708987172,2.5806536941134233E-6,0,4.827877659017693E-5,-0.0046233230316794945
173.20537708987172,2.447106897637088E-6,0,4.578039701033488E-5,-0.004625836320782329
174.20537708987172,2.320469956376752E-6,0,4.341130648937536E-5,-0.004628219548155999
175.20537708987172,2.200389033942946E-6,0,4.1164817272753055E-5,-0.004630479445901493
176.20537708987172,2.0865226157637622E-6,0,3.90345838389167E-5,-0.00463262239790856
177.20537708987172,1.978545208744694E-6,0,3.701458913801559E-5,-0.0046346544538524055
178.20537708987172,1.8761568100280552E-6,0,3.509912715758271E-5,-0.004636581350840819
179.20537708987172,1.7790720221423701E-6,0,3.3282787911383006E-5,-0.00463840853547175
180.20537708987172,1.687006082668233E-6,0,3.1560439785253756E-5,-0.004640141167924151
181.20537708987172,1.5997020628944591E-6,0,2.9927219215576975E-5,-0.004641784134457084
182.20537708987172,1.5169205951760176E-6,0,2.8378515550199416E-5,-0.0046433420791615505
